Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Voss,Bollinger,Linear Regression Curve
2022-01-12 21:00:00,43819.16,44322.0,43734.55,43773.09,1786.14248,1642024799999,78590024.2719193,52806,969.68959,42682249.1393812,-300.9962027739342,0.7234567452583591,43742.85396923077
2022-01-12 22:00:00,43776.6,43948.99,43742.97,43842.95,574.66169,1642028399999,25196663.9599656,27549,293.61812,12873890.0695834,-253.1348944328513,0.7233894020488709,43831.78750769231
2022-01-12 23:00:00,43842.94,44032.19,43817.35,43902.66,777.15978,1642031999999,34151120.4725232,27507,404.56748,17777942.9897661,-169.5776933306517,0.7218519933852455,43910.98052307693
2022-01-13 00:00:00,43902.65,44075.42,43670.0,43720.0,1234.16915,1642035599999,54148672.9968731,35625,533.96344,23422697.8495349,-143.68889182839283,0.6494950010470052,43992.56344615384
2022-01-13 01:00:00,43720.0,43808.88,43516.92,43548.57,992.52709,1642039199999,43311619.3825276,35572,468.76645,20455448.731479,-148.61555758322982,0.5870569454226605,44036.91938461538
2022-01-13 02:00:00,43548.58,43684.28,43534.07,43587.63,615.45639,1642042799999,26839868.4657648,26799,295.82476,12901101.8171641,-74.70016011710501,0.5886068206498448,44041.94073846154
2022-01-13 03:00:00,43587.62,43646.87,43422.72,43509.93,1137.4846,1642046399999,49477943.5732474,41703,490.08352,21316800.9259313,21.64345544036269,0.5545499102810514,44040.87141538461
2022-01-13 04:00:00,43505.99,43719.99,43483.2,43623.02,849.79404,1642049999999,37072091.7682453,35422,475.50902,20744557.8420729,116.29099117708289,0.5803895261526133,44013.8736
2022-01-13 05:00:00,43623.01,43763.57,43579.36,43662.68,571.73768,1642053599999,24956434.8277544,28369,293.01516,12789972.8184927,215.03154856439548,0.5831731596058547,43998.8067076923
2022-01-13 06:00:00,43662.68,43795.44,43642.94,43708.42,1073.35534,1642057199999,46925611.7677715,34018,550.01771,24043968.0376676,270.1387821322797,0.5891524562924049,43982.31279999999
2022-01-13 07:00:00,43708.42,43764.98,43537.42,43699.99,836.91713,1642060799999,36549628.3832083,31259,356.91745,15587888.4674026,280.6529013089461,0.5749521956326532,43969.23052307691
2022-01-13 08:00:00,43699.99,43898.33,43668.87,43896.44,1060.63413,1642064399999,46464639.4658096,43172,549.93666,24093472.5241157,291.63918729721456,0.6369072328971769,43943.22283076922
2022-01-13 09:00:00,43896.43,43991.78,43740.01,43883.0,1022.25878,1642067999999,44810826.7537336,36900,534.82818,23445325.8217801,264.3040303924027,0.62338005034809,43928.26698461538
2022-01-13 10:00:00,43883.0,44014.51,43756.2,43780.25,1099.0732,1642071599999,48244303.8241824,36401,518.94256,22777845.3431024,150.30421194133726,0.5701132964404044,43902.311046153845
2022-01-13 11:00:00,43780.25,43830.68,43500.0,43602.31,1425.68774,1642075199999,62251301.0661302,42541,698.24582,30493003.5792585,11.35414523568403,0.4566056543926028,43864.51849230769
2022-01-13 12:00:00,43603.58,43811.0,43575.05,43803.16,768.7972,1642078799999,33623823.0408038,39607,422.35459,18469812.9634885,-44.25527863046389,0.5713290609388059,43788.28833846154
2022-01-13 13:00:00,43803.16,43939.0,43659.21,43924.62,1023.6518,1642082399999,44845242.1869529,33533,532.74745,23341806.5625978,-39.80276531849174,0.7054555462441885,43748.27203076923
2022-01-13 14:00:00,43924.61,44500.0,43840.28,44154.52,4866.88512,1642085999999,214886573.6118943,90113,2711.09545,119734383.9528148,-36.531333003111854,1.0217985345114189,43746.53006153847
2022-01-13 15:00:00,44154.52,44211.0,42871.01,43200.0,4892.54873,1642089599999,211929611.4378,113714,2172.07706,94013064.3150372,-238.5337871750656,-0.0728867994385066,43824.38726153846
2022-01-13 16:00:00,43200.01,43500.0,43070.42,43250.89,1782.99397,1642093199999,77162260.115273,53370,873.16513,37798078.8763796,-403.1810155109405,0.0881360741711755,43750.46196923077
2022-01-13 17:00:00,43250.92,43255.04,42565.01,42822.12,2807.09484,1642096799999,120218429.0475308,66384,1365.97747,58502647.6925814,-402.60347016540914,-0.1938852959244983,43667.06507692308
2022-01-13 18:00:00,42822.12,42962.96,42628.38,42709.29,1040.60187,1642100399999,44565333.8916567,35245,518.45531,22204183.3402518,-401.8804376159298,-0.0672097549974047,43525.93726153847
